term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,outcome,type,year,coef,lci,uci
regionUrban,0.05791575555341583,0.06284414126473911,0.9215776425273787,0.35675108559923596,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,0.003949386091302486,hc,unadjusted,Y1,1.0596257243672973,0.9368250179276282,1.1985233680295018
svi_ge75,0.03433452670702999,0.031907297933367114,1.0760712730589637,0.28190031169905416,8.41393910619269e-6,52662.52116459185,102917,0.009128637325373987,0.009091007051485625,10,0.009174411692878817,0.0010088203283918414,hc,unadjusted,Y1,1.0349307608054144,0.97219023636927,1.1017202596698794
regionUrban,-0.04275575793514501,0.028835042103440275,-1.4827707822227827,0.13813838405333811,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,8.314596531071734e-4,hc,unadjusted,Y2,0.9581453808969272,0.9054959806762277,1.0138560419103355
svi_ge75,0.044120955370804,0.015327697857951524,2.8785115533782166,0.0039971428847414,1.9025960313179968e-6,53702.104724589924,102917,0.00894501535561027,0.008908106689352447,10,0.00898817430500392,2.328454659902019e-4,hc,unadjusted,Y2,1.0451087587611225,1.014178238737206,1.0769826012035333
regionUrban,0.05740628792489117,0.0781512220623736,0.734553937993118,0.4626128734011985,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,0.00610761350984243,hc,unadjusted,BOTH,1.0590860168558067,0.9086728893067357,1.234397112865623
svi_ge75,0.020427364591773706,0.03976408898433962,0.5137138838970675,0.6074542049489293,1.31056781744505e-5,52514.233752681066,102917,0.009155116662590569,0.009117381140436984,10,0.009201272650165624,0.0015667665267625841,hc,unadjusted,BOTH,1.0206374311342752,0.9441122133589118,1.1033654168356375
regionUrban,0.03497600520174088,0.06540504478288241,0.5347600528039801,0.592816957714962,3.545628350459277e-6,101774.49576689924,102836,9.3135682394158e-4,9.117240304946333e-4,10,9.125560297561349e-4,0.004273919691865348,hc,adjusted,Y1,1.0355948596117643,0.9109949887389504,1.1772366769424973
svi_ge75,0.005658361480694015,0.03615836381473752,0.15648831649809788,0.8756490940605972,1.6233242734311934e-5,32695.552831336347,102836,0.013718119305422603,0.013657789894809669,10,0.013846908055727544,0.0012895707067511765,hc,adjusted,Y1,1.005674400244789,0.936868796529973,1.0795332313913386
regionUrban,-0.02692794625080758,0.029290318263094178,-0.9193463180882132,0.3579166388016266,7.393724640648372e-7,101693.25960958244,102836,0.00096764653814249005,9.479987751852243e-4,10,9.48898329639498e-4,8.571094342428769e-4,hc,adjusted,Y2,0.9734313783778885,0.919121487496331,1.0309503817518557
svi_ge75,0.020860283035561547,0.016840586510255964,1.2386910053790334,0.2154638287153281,1.4587719231300522e-6,74980.59062696506,102836,0.005684556927878092,0.005658035339451972,10,0.005690230866785886,2.8200070489397205e-4,hc,adjusted,Y2,1.0210793795595432,0.9879262136886227,1.0553451107132097
regionUrban,0.05932926316156391,0.08119306027749078,0.7307184007943079,0.46495284940492243,4.261686249343159e-6,102170.96427395397,102836,7.306698030435851e-4,7.111092643518239e-4,10,7.116153005847243e-4,0.006587625182349973,hc,adjusted,BOTH,1.0611245724575107,0.905010136328168,1.2441687811824005
svi_ge75,0.025490447114388044,0.04520427644543357,0.5638945940249206,0.5728287804169336,2.0239170761232994e-5,43439.592394995474,102836,0.010940514133036431,0.010894977945275747,10,0.011014985974535835,0.002021163521117824,hc,adjusted,BOTH,1.0258181067006056,0.9388402568761736,1.12085392624318
regionUrban,0.0961033377483941,0.01123461346712702,8.554218445485173,0,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,1.262165397557518e-4,soc,unadjusted,Y1,1.1008728198347115,1.076896717613939,1.1253827276361847
svi_ge75,0.006281465962539513,0.005310120147706846,1.1829235097914197,0.23684244430698498,7.11481152201418e-8,94341.77222505969,102917,0.002796679359391358,0.002775539354765212,10,0.0027832644146828815,2.8119113056340023e-5,soc,unadjusted,Y1,1.0063012357425818,0.9958821322379428,1.0168293458397946
regionUrban,0.11339729145135413,0.012889813574723696,8.797434562880007,0,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,1.6614729399113125e-4,soc,unadjusted,Y2,1.120076841517543,1.0921336466158609,1.1487349875094448
svi_ge75,-0.00711049865207974,0.006110119125539803,-1.1637250446326703,0.2445392300543876,1.9890809599973215e-7,73581.37080614883,102917,0.005887670453598103,0.005860650059483176,10,0.005895199762320887,3.7114756822687586e-5,soc,unadjusted,Y2,0.9929147211329759,0.9810946585869434,1.0048771897938202
regionUrban,0.14296157913384752,0.01662211004050022,8.60068780591139,0,0,102892.943926728,102917,1.9437112131690984e-5,0,10,0,2.7629454219849824e-4,soc,unadjusted,BOTH,1.1536854752192602,1.116704842004788,1.1918907536412233
svi_ge75,-0.024895784360383227,0.007891698914326546,-3.154679953031097,0.0016073505005276267,2.9480631427145955e-7,78246.2357053023,102917,0.005232436739389604,0.005207010472140826,10,0.005234265346614612,6.195462480868418e-5,soc,unadjusted,BOTH,0.9754115598711948,0.9604402419897056,0.9906162502721905
regionUrban,0.051250506740569544,0.010999651772387736,4.659284475643396,3.1770866757430127e-6,5.980158607162728e-8,102431.32579449697,102835,5.631992946450087e-4,5.43685204870059e-4,10,5.439809592693447e-4,1.2092655736911386e-4,soc,adjusted,Y1,1.0525865402825234,1.030136367662355,1.0755259784664535
svi_ge75,-0.005468795609049983,0.0056932532912977625,-0.9605747942760834,0.3367684813147451,8.386454337457327e-8,93876.51057578858,102835,0.0028673426459863037,0.0028460993758731915,10,0.002854222777538948,3.232088204116077e-5,soc,adjusted,Y1,0.9945461310310129,0.9835099030028518,1.0057061995296335
regionUrban,0.0616516695040548,0.012619722154091574,4.88534285868299,1.0340407570197385e-6,4.0736453646602556e-8,102711.18262632124,102835,3.0083507437066626e-4,2.8136904532983375e-4,10,2.814482361513494e-4,1.5921257714745843e-4,soc,adjusted,Y2,1.0635917987368086,1.0376069105032792,1.0902274289899545
svi_ge75,-0.01589137786664066,0.006528868531680035,-2.4340171332185525,0.014934424163079107,1.844111846878995e-7,81384.69446536654,102835,0.004783329587659148,0.004758872791487535,10,0.004781627950640856,4.242327200080513e-5,soc,adjusted,Y2,0.9842342238702418,0.9717196323746066,0.9969099883988022
regionUrban,0.07766239683784647,0.016425098413650762,4.728275891077883,2.2673449868726436e-6,9.365210743384498e-8,102621.8311005942,102834,4.013323240173293e-4,3.8185130489213796e-4,10,3.819971710103533e-4,2.696808405799356e-4,soc,adjusted,BOTH,1.0807577298458688,1.0465187754701064,1.116116880078814
svi_ge75,-0.030114012440702383,0.008458561116067496,-3.5601814572810953,3.7078973972937135e-4,2.280267416875945e-7,89892.26865818398,102834,0.00352795677021046,0.003505786655404226,10,0.0035181204350776263,7.129642673839263e-5,soc,adjusted,BOTH,0.97033489699175135,0.9543805456802726,0.9865559567215043
regionUrban,-0.024237944162288725,0.004488323224538206,-5.400222521804346,7.47653969845885e-8,1.2369507010906308e-6,1933.0859312846744,102917,0.06850569240178954,0.06754245256582271,10,0.07243488215809693,1.878439959672935e-5,cc,unadjusted,Y1,0.9760534359077457,0.9675046405240815,0.9846777677792476
svi_ge75,0.01610072492794754,0.0024542680985675746,6.560295893241929,5.525313540033494e-11,1.1498420752517823e-7,16972.783574649166,102917,0.021113773476714906,0.0209984325190294,10,0.021448824206747305,5.896949271368802e-6,cc,unadjusted,Y1,1.0162310400494632,1.0113543361095019,1.0211312592307886
regionUrban,-0.028712775424511037,0.00393879300288724,-7.2897396241599415,3.3306690738754696e-13,3.923569123701076e-7,10418.210332526542,102917,0.028005972095493055,0.027819394802803193,10,0.028615459570045954,1.5082497715986368e-5,cc,unadjusted,Y2,0.9716955192220076,0.9642228781345062,0.9792260726097549
svi_ge75,0.01326700666664796,0.0022812194811355807,5.815751959142355,6.171016364575621e-9,1.1277560802163994e-7,13680.995862048552,102917,0.023980886299887014,0.02383821426233621,10,0.02442035184190518,5.079909152288684e-6,cc,unadjusted,Y2,1.0133554038891956,1.0088346133440245,1.0178964530048826
regionUrban,-0.037438838050364735,0.005226326772183592,-7.163508843271687,9.281464485866309e-13,1.1401227700001051e-6,4091.2559456027598,102917,0.04638070049794754,0.045914640059803766,10,0.0481242475648948,2.6060356482642855e-5,cc,unadjusted,BOTH,0.9632533303708752,0.9534365137145175,0.9731712233840522
svi_ge75,0.020679527153779353,0.0029156260902525786,7.0926540350679534,1.3349321648092882e-12,8.113089734109999e-8,45319.2591077053,102917,0.010541876440986926,0.010498211283591973,10,0.010609593032884116,8.411631511086328e-6,cc,unadjusted,BOTH,1.0208948301356207,1.0150774347895972,1.026745564897389
regionUrban,-3.844853804101581e-4,0.004593071442105057,-0.08370986283504095,0.9332948103346452,1.219000033222366e-6,2177.3587743588964,102835,0.06441987171120986,0.06356089463240966,10,0.06787509648847848,1.9755405235736426e-5,cc,adjusted,Y1,0.9996155885246216,0.990657014059567,1.0086551759490627
svi_ge75,0.012988286917673564,0.002736572302345452,4.746188107853612,2.0942028688963887e-6,1.6387898008271516e-7,13450.632657800204,102835,0.024216520976934365,0.024071440672729472,10,0.024665166771348977,7.308561087873303e-6,cc,adjusted,Y1,1.0130730010828495,1.0076537465239441,1.018521400891376
regionUrban,-0.0023138612397100183,0.004060918700272983,-0.5697876294727289,0.5688426461335754,5.566541700197779e-7,6124.27494686986,102835,0.037444684039252524,0.037130394370850736,10,0.03856222499264513,1.587874110320506e-5,cc,adjusted,Y2,0.9976888136736844,0.9897793278193452,1.005661505502044
svi_ge75,0.011930918396451783,0.002518852300397513,4.7366486691454295,2.184141957739527e-6,9.177527518905356e-8,26307.048053914707,102835,0.015986374930066306,0.01591156788827793,10,0.016168839475263246,6.243664108509885e-6,cc,adjusted,Y2,1.0120023757043406,1.0070184827999238,1.0170109346788516
regionUrban,-0.002216731759572952,0.005324773969368846,-0.4163053253198848,0.6772048509518376,1.0775214206228865e-6,4894.226733098224,102834,0.04219516834099934,0.04180384639254577,10,0.04362764997037509,2.7167944262182886e-5,cc,adjusted,BOTH,0.9977857233758134,0.9874264275398311,1.0082537007370458
svi_ge75,0.018150334825863226,0.003217413135532853,5.641282005538046,1.700574081553441e-8,1.1982921733600844e-7,35886.92551163309,102834,0.012788339105302927,0.01273332273716124,10,0.012897551421935882,1.0219935145629735e-5,cc,adjusted,BOTH,1.018316053249653,1.0119146254269213,1.0247579768584318
